"date","company","spend","litres","miles"
"01/01/2018","Shell",37.00,30.35,414
"08/01/2018","BP",39.00,31.48,400
"14/01/2018","Sainsburys",38.01,30.93,417
"21/01/2018","Sainsburys",39.00,31.73,415
"28/01/2018","Sainsburys",39.00,31.73,407
"16/04/2018","BP",38.00,30.67,409
"25/04/2018","BP",20.00,16.01,240
"30/04/2018","BP",39.00,30.98,381
"08/05/2018","BP",40.01,31.28,449
"16/05/2018","BP",39.00,29.79,405
"23/05/2018","Sainsburys",40.02,31.05,418
"01/06/2018","BP",40.00,29.87,418
"08/06/2018","BP",41.00,30.62,445
"15/06/2018","BP",40.00,30.56,405
"25/06/2018","BP",42.00,31.84,454
"01/07/2018","BP",42.00,32.58,450
"08/07/2018","Applegreen",40.02,31.54,433
"16/07/2018","BP",40.00,30.79,464
"24/07/2018","BP",40.00,30.56,478
"01/08/2018","Shell",38.00,28.81,378
"01/09/2018","Applegreen",40.00,31.30,409
"06/10/2018","Shell",40.00,26.51,377
"20/10/2018","Shell",35.00,23.35,320
"24/10/2018","BP",40.00,30.10,407
"01/11/2018","BP",39.00,28.91,372
"07/11/2018","Sainsburys",39.00,30.02,386
"14/11/2018","BP",40.00,30.10,390
"21/11/2018","BP",40.00,30.10,440
"28/11/2018","BP",41.01,31.09,325
"04/12/2018","Sainsburys",40.01,32.03,398
"09/12/2018","Shell",40.00,27.99,350
"13/12/2018","Esso",22.00,17.07,237
"18/12/2018","BP",40.01,30.80,394
"24/12/2018","BP",39.00,30.73,399
